TimeStamp,EventType,User,Client IP,Message
2023-04-28 10:58:33,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-28 12:23:34,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-28 12:32:44,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-28 13:07:58,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-28 13:19:31,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-28 13:25:53,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-28 13:32:42,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-28 13:38:56,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-28 14:10:34,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-28 14:22:14,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-28 15:21:06,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-28 16:59:47,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-04-28 17:23:15,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
