TimeStamp,EventType,User,Client IP,Message
2023-03-02 09:15:11,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 09:41:41,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 09:47:02,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 09:53:30,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 09:58:10,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 10:01:18,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 10:23:10,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 10:28:29,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 10:33:20,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-02 10:34:32,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 10:37:11,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 11:00:53,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 11:03:19,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-02 11:56:07,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 11:57:38,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-02 11:58:20,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 12:05:36,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 12:07:24,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 12:10:28,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 12:16:46,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 12:18:29,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 12:23:00,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 12:48:59,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 13:06:56,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-02 13:12:03,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
