TimeStamp,EventType,User,Client IP,Message
2023-03-21 11:18:48,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 12:03:25,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 12:49:57,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 13:16:14,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-21 13:24:26,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-21 13:28:06,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 13:32:50,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-21 13:41:33,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 14:06:00,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 14:12:30,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 15:34:08,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 15:44:27,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 15:54:53,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 15:56:46,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 15:57:39,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 16:04:19,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-21 16:07:51,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 16:10:31,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 16:15:31,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-21 16:31:12,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-21 16:35:43,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 16:39:19,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 16:41:40,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 16:49:57,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 16:54:18,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 17:40:57,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 17:53:18,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 17:56:40,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 18:02:19,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 18:05:34,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 18:10:08,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-21 18:11:33,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
