TimeStamp,EventType,User,Client IP,Message
2023-03-06 12:00:31,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-06 12:12:44,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-06 12:41:22,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-06 12:47:10,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-06 12:48:37,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-06 13:01:40,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-06 14:16:43,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-06 14:20:31,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-06 16:50:31,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-06 16:51:16,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-06 16:52:13,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-06 16:53:05,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-06 17:02:41,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-06 17:04:20,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-06 17:05:51,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-06 17:07:17,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-06 17:10:22,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-06 17:20:31,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-06 17:26:53,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
2023-03-06 17:30:31,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
TimeStamp,EventType,User,Client IP,Message
2023-03-06 17:37:00,USER ACTION - LOGIN SUCCESS,kafka,127.0.0.1,
